"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158"
NA,7.0975489616394,0,6.25575017929077,0,0,2.7725887298584,8.34355354309082,0,6.63463354110718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7982273101807,0,2.4849066734314,9.96740055084229,0,0,0,5.14749431610107,0,0,0,0,12.2940654754639,14.3281269073486,0,4.68213129043579,9.84834480285645,6.45362520217896,11.2298860549927,11.0344381332397,9.24821376800537,9.85781002044678,7.34987354278564,7.56837940216064,9.75550937652588,8.00536727905273,9.94044589996338,2.94443893432617,5.96357917785645,8.75542259216309,5.24702405929565,0,0,0,0,0,0,6.98749017715454,0,0,3.93182563781738,0,0,0,0,3.43398714065552,0,7.62657022476196,0,12.0983200073242,14.5392866134644,0,4.83628177642822,0,0,0,8.76389694213867,0,0,0,10.5010042190552,0,0,13.0494136810303,0,0,0,0,0,0,0,11.2863006591797,12.9917879104614,0,8.60263633728027,9.66535758972168,0,8.51819229125977,0,0,6.32793664932251,0,8.97903823852539,10.2392454147339,0,8.3886775970459,0,0,0,13.533989906311,7.36454725265503,13.5839166641235,14.3556175231934,11.0613269805908,9.96166229248047,14.7820558547974,12.2343444824219,12.0675172805786,13.0811996459961,14.2397336959839,12.0953035354614,8.92092323303223,6.10255861282349,12.1138200759888,8.45892810821533,13.4895448684692,7.48717355728149,0,0,7.83991956710815,7.29505634307861,8.28903675079346,8.00235939025879,8.61468315124512,0,11.3976716995239,8.72078704833984,0,5.71042680740356,0,0,0
0,NA,8.67436790466309,10.255763053894,0,0,11.3858079910278,8.11611843109131,0,0,5.61677122116089,3.29583692550659,0,0,0,0,0,2.39789533615112,0,0,0,0,0,0,0,0,0,0,0,7.21524000167847,10.5697002410889,0,0,5.82600021362305,6.06145715713501,0,0,0,6.5294189453125,0,0,0,5.97126197814941,0,7.03174114227295,2.39789533615112,0,0,8.58335494995117,14.3596515655518,0,0,0,0,12.0224018096924,5.26269006729126,3.78418970108032,7.62657022476196,0,11.116231918335,6.9373140335083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7765350341797,2.19722461700439,9.64062786102295,0,8.14293575286865,2.94443893432617,2.39789533615112,5.59842205047607,0,0,5.65248918533325,0,6.9555926322937,11.9412469863892,0,0,0,0,0,0,0,0,0,8.96495151519775,3.52636051177979,11.655101776123,0,0,0,0,0,0,8.65695476531982,6.7696418762207,0,8.49923324584961,0,0,0,12.9693260192871,3.76120018959045,14.187198638916,13.5454769134521,8.13476085662842,0,14.4253225326538,13.4716997146606,11.8181352615356,13.2440605163574,12.522177696228,12.463436126709,8.28121757507324,0,10.1645431518555,8.88875675201416,8.07277965545654,0,6.06610822677612,9.95579528808594,7.08422660827637,8.3172779083252,7.23128700256348,7.01481437683105,8.87738227844238,11.7634191513062,8.41891860961914,0,0,0,0,0,0
0,9.39191150665283,NA,9.0069990158081,0,11.1707448959351,9.49807262420654,8.45744323730469,9.22660732269287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20492553710938,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44009590148926,0,0,0,7.4866132736206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72106552124023,0,0,0,0,0,0,0,0,0,12.5596370697021,0,0,8.5714921951294,0,0,0,0,0,0,0,0,9.83654594421387,0,0,0,0,0,0,0,0,0,9.8997802734375,0,0,0,12.186089515686,0,13.136721611023,14.326021194458,12.3889770507812,0,14.9664220809937,12.2706756591797,10.5087594985962,13.534797668457,11.9968385696411,0,7.38398933410645,0,0,9.440260887146,0,8.5446138381958,0,12.1128168106079,0,0,0,9.43596076965332,12.33971118927,11.806960105896,0,0,0,0,0,0,0
0,10.2446985244751,11.365608215332,NA,0,5.87773561477661,10.7984523773193,6.02827835083008,9.02929782867432,6.41345882415771,5.01727962493896,8.12888050079346,8.85836887359619,8.74592113494873,0,6.13988447189331,10.4358491897583,6.94889736175537,5.63478946685791,0,3.13549423217773,4.02535152435303,7.04403305053711,8.42573547363281,9.106201171875,4.54329490661621,6.1717004776001,5.28826713562012,0,8.23084354400635,8.0228967666626,6.97354316711426,4.95582723617554,6.3543701171875,9.41906070709229,0,7.57507181167603,0,8.73921585083008,0,5.59842205047607,0,0,7.55590486526489,0,6.80350542068481,6.17378616333008,0,9.51892757415771,11.2931385040283,0,0,7.08254861831665,4.40671920776367,9.63580417633057,0,0,0,10.3783540725708,1.60943794250488,0,0,7.96241569519043,3.93182563781738,4.53259944915771,0,2.39789533615112,0,0,0,0,0,3.13549423217773,7.28207349777222,0,0,4.9767336845398,0,8.56216621398926,0,0,5.01063537597656,4.92725372314453,7.38647079467773,0,0,11.9929599761963,0,4.58496761322021,9.7947883605957,10.6704196929932,6.92461252212524,7.18765735626221,6.77193546295166,0,1.60943794250488,10.6291017532349,2.89037179946899,6.68586111068726,9.96857261657715,7.94520092010498,0,8.4601993560791,0,0,0,0,6.74288082122803,4.12713432312012,11.1308298110962,10.5990314483643,6.33327960968018,0,8.03365802764893,0,0,9.38781642913818,8.72355651855469,7.00669527053833,0,7.6068844795227,10.8270711898804,0,0,4.96284484863281,12.0193328857422,9.39432716369629,13.8608131408691,12.2156467437744,10.0050964355469,9.71450424194336,12.3422756195068,11.5056791305542,9.99775218963623,12.557032585144,11.7760581970215,8.40760135650635,9.44065856933594,2.94443893432617,10.1986541748047,10.0959243774414,9.59082984924316,5.75574207305908,6.45204877853394,9.76571846008301,10.1476488113403,9.5644416809082,9.72214508056641,10.0462017059326,10.3684158325195,9.38387298583984,9.51804542541504,9.4404993057251,0,0,0,5.87773561477661,0
0,7.41878080368042,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0794415473938,0,0,0,0,0,0,0,0,0,0,2.19722461700439,0,0,0,0,0,0
0,6.5072774887085,6.19031524658203,0,0,NA,9.21243858337402,10.5842332839966,0,3.76120018959045,0,0,0,0,0,0,0,0,0,0,3.49650764465332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55295944213867,9.93576145172119,0,0,0,0,0,3.13549423217773,0,2.63905739784241,6.89467000961304,0,3.40119743347168,0,2.70805025100708,0,0,0,3.21887588500977,0,0,0,0,0,0,0,0,4.51085948944092,0,0,0,0,0,0,0,0,0,0,11.347225189209,0,7.09506416320801,0,0,7.41155624389648,6.4645881652832,0,0,0,10.2097949981689,7.16162204742432,0,9.5450963973999,0,0,0,0,0,0,0,7.09672117233276,8.18841171264648,0,7.57712173461914,8.61667633056641,0,4.64439105987549,0,0,4.11087369918823,0,6.16961050033569,10.8248453140259,0,10.7988815307617,0,0,0,10.0946865081787,7.77946710586548,10.4899120330811,9.9883337020874,9.17802333831787,5.59098720550537,11.3657474517822,9.03682041168213,8.06054019927979,8.64787006378174,9.65342235565186,6.58892631530762,8.13622570037842,4.68213129043579,6.90675497055054,7.44658517837524,8.01565742492676,0,0,0,8.46062278747559,3.91202306747437,0,6.39191722869873,10.2076578140259,0,5.42934560775757,2.19722461700439,0,0,0,0,0
0,11.3648195266724,11.2577104568481,10.0463752746582,0,3.25809645652771,NA,8.3170337677002,8.89781856536865,0,4.79579067230225,4.14313459396362,5.21493577957153,0,0,0,5.17614984512329,6.22059011459351,3.25809645652771,9.04404926300049,2.39789533615112,0,8.49167060852051,6.24610662460327,8.68558502197266,3.58351898193359,5.75257253646851,0,0,3.80666255950928,3.68887948989868,0,1.60943794250488,3.52636051177979,5.36597585678101,0,0,0,7.47760438919067,0,5.3132061958313,0,3.178053855896,7.34018707275391,4.52178859710693,5.40267753601074,6.7250337600708,0,6.85435438156128,11.1629285812378,0,1.94591009616852,0,0,7.22766256332397,0,0,0,1.94591009616852,0,0,7.90026617050171,8.86827278137207,0,0,0,0,0,0,0,0,8.91650581359863,0,8.57187080383301,0,0,0,1.94591009616852,0,0,0,0,0,0,0,0,8.96775913238525,5.73009967803955,5.50938844680786,10.5499362945557,10.7992286682129,8.50106334686279,6.71295642852783,5.26785802841187,5.66642665863037,6.38519430160522,8.94507217407227,9.82854843139648,7.77988529205322,10.0460720062256,7.4157772064209,0,9.15894222259521,0,0,0,0,0,7.08338785171509,11.3420658111572,10.5813179016113,6.50278997421265,0,0,0,6.7833251953125,0,1.94591009616852,6.03787088394165,7.92479610443115,4.75359010696411,9.99725151062012,9.20250988006592,0,0,12.0110187530518,9.31190395355225,13.5268936157227,12.9587755203247,11.4997692108154,8.93616676330566,13.2527351379395,10.8892488479614,8.6574764251709,11.5481767654419,10.8618030548096,8.83010387420654,8.01268100738525,6.92657709121704,7.37838363647461,8.54714012145996,9.02111530303955,7.3310604095459,0,8.51358699798584,8.70250988006592,7.27793836593628,7.6797137260437,8.31262588500977,8.61920833587646,10.006404876709,4.46590805053711,0,0,0,0,5.8051347732544,0
2.89037179946899,8.96187877655029,7.60389804840088,8.37170505523682,0,10.0243768692017,9.77792453765869,NA,4.14313459396362,0,5.19295692443848,0,0,0,2.63905739784241,0,0,4.34380531311035,0,7.90063667297363,5.62762117385864,0,0,4.24849510192871,6.96508026123047,0,2.99573230743408,0,0,0,3.68887948989868,4.82028150558472,3.66356158256531,4.8903489112854,6.05443954467773,0,0,0,0,0,0,3.52636051177979,7.3310604095459,0,5.52942895889282,1.7917594909668,0,0,8.37747097015381,11.9107141494751,0,0,1.7917594909668,0,8.78032684326172,0,0,0,0,0,0,6.33682584762573,0,0,0,0,0,0,0,0,0,3.178053855896,4.70048046112061,0,0,0,0,6.2519040107727,0,0,0,0,0,0,0,11.9909467697144,11.5013389587402,7.08673810958862,9.51569080352783,7.57660961151123,11.1110734939575,10.3800945281982,9.79026317596436,9.33961296081543,8.50106334686279,8.42639255523682,11.20924949646,7.1891679763794,0,9.89580821990967,9.4690055847168,2.89037179946899,8.4394474029541,0,0,0,0,8.87458801269531,5.71042680740356,8.0542049407959,6.86275768280029,11.4566297531128,0,6.07534599304199,0,0,7.80994701385498,5.67332315444946,11.1046562194824,7.46851348876953,8.25166416168213,8.45723056793213,7.68063735961914,3.36729574203491,0,11.3757190704346,10.2215051651001,12.1425838470459,12.1375370025635,10.8838796615601,8.34498023986816,13.0176696777344,11.3546915054321,9.78661632537842,10.6644105911255,11.4006967544556,10.2209587097168,8.09376811981201,0,7.7393593788147,8.59304237365723,10.1820659637451,5.54126358032227,8.18729972839355,9.36879634857178,10.7816190719604,9.41759872436523,9.37050151824951,8.54714012145996,10.4045658111572,12.8071870803833,6.9450511932373,3.71357202529907,0,0,0,0,0
0,8.52753925323486,0,7.78572082519531,0,0,7.87967014312744,0,NA,10.0400705337524,8.77878761291504,9.79160594940186,10.3443517684937,5.30826759338379,0,0,7.64683151245117,7.28207349777222,10.5073118209839,3.465735912323,0,0,4.67282867431641,6.87212800979614,9.7947883605957,0,7.98104953765869,0,0,3.85014748573303,4.02535152435303,4.27666616439819,7.32449007034302,5.09986639022827,10.3507022857666,0,5.14749431610107,1.94591009616852,9.49401473999023,0,8.93458652496338,0,0,8.19946384429932,0,1.60943794250488,4.17438745498657,2.56494927406311,8.11999416351318,11.9256181716919,0,0,8.3918571472168,0,7.00850534439087,0,0,0,5.30330467224121,0,0,2.0794415473938,0,0,0,0,0,0,0,0,0,0,4.60517024993896,2.83321332931519,0,0,0,0,0,0,0,0,0,0,0,4.51085948944092,9.81809329986572,0,2.56494927406311,0,0,0,0,2.94443893432617,2.89037179946899,0,4.76217412948608,0,0,8.88128089904785,0,0,5.52942895889282,0,0,0,0,0,5.16478586196899,6.25575017929077,6.58617162704468,8.41493892669678,0,4.17438745498657,0,0,2.0794415473938,0,6.83625936508179,6.0063533782959,9.60245037078857,9.41025638580322,0,0,0,10.4488887786865,0,12.7150592803955,11.5032997131348,8.77524089813232,5.7397928237915,11.3461265563965,11.9121780395508,9.78802013397217,11.2325496673584,7.34987354278564,0,6.14632940292358,0,4.91998100280762,5.89989757537842,8.51499080657959,0,0,7.45529842376709,0,8.44569683074951,6.99668169021606,0,5.42495012283325,8.83185768127441,2.70805025100708,0,0,0,0,0,0
0,0,0,0,0,8.13973236083984,0,0,5.40717172622681,NA,4.49980974197388,6.53813982009888,0,0,0,0,6.92264366149902,3.178053855896,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23410654067993,0,0,6.45833826065063,0,0,0,2.94443893432617,0,0,0,0,0,0,0,0,0,0,6.92853784561157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66949796676636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77068471908569,0,0,0,0,0,0,0,0,0,0,1.94591009616852,0,0,11.0895156860352,0,10.0875988006592,7.31055021286011,0,5.40267753601074,7.17548990249634,0,0,8.87794017791748,6.04737234115601,0,0,0,0,5.37989711761475,8.55391120910645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
